Flight Number,Type,Status,Departure IATA Code,Departure ICAO Code,Scheduled Time,Actual Time,Arrival IATA Code,Arrival ICAO Code,Arrival Estimated Time,Days,Month,Year,Hour
525,departure,cancelled,lhe,opla,2023-07-15 20:30:00,,khi,opkc,,15,Jul,2023,20
142,departure,active,lhe,opla,2023-07-19 10:45:00,,khi,opkc,,19,Jul,2023,10
621,departure,active,lhe,opla,2023-07-24 03:30:00,,doh,othh,,24,Jul,2023,3
3836,departure,active,lhe,opla,2023-07-27 09:55:00,2023-07-27 09:53:00,doh,othh,2023-07-27 10:53:00,27,Jul,2023,9
129,departure,active,lhe,opla,2023-07-21 19:25:00,2023-07-21 20:01:00,sll,oosa,2023-07-21 22:29:00,21,Jul,2023,19
342,departure,active,lhe,opla,2023-07-22 10:30:00,,njf,orni,,22,Jul,2023,10
470,departure,active,lhe,opla,2023-07-18 16:45:00,,jed,oejn,,18,Jul,2023,16
8317,departure,unknown,lhe,opla,2023-07-31 05:20:00,,doh,othh,,31,Jul,2023,5
159,departure,active,lhe,opla,2023-07-29 13:10:00,,gyd,ubbb,,29,Jul,2023,13
855,departure,active,lhe,opla,2023-07-31 01:00:00,2023-07-31 01:29:00,rkt,omrk,2023-07-31 02:45:00,31,Jul,2023,1
739,departure,active,lhe,opla,2023-07-16 02:35:00,2023-07-16 03:04:00,jed,oejn,2023-07-16 05:33:00,16,Jul,2023,2
525,departure,cancelled,lhe,opla,2023-07-27 20:30:00,,khi,opkc,,27,Jul,2023,20
346,departure,active,lhe,opla,2023-07-13 23:40:00,,bkk,vtbs,,13,Jul,2023,23
305,departure,active,lhe,opla,2023-07-16 17:00:00,2023-07-16 17:06:00,khi,opkc,2023-07-16 18:34:00,16,Jul,2023,17
159,departure,active,lhe,opla,2023-07-15 13:10:00,,gyd,ubbb,,15,Jul,2023,13
279,departure,active,lhe,opla,2023-07-21 09:00:00,,doh,othh,,21,Jul,2023,9
6173,departure,active,lhe,opla,2023-07-18 09:55:00,,doh,othh,,18,Jul,2023,9
6367,departure,active,lhe,opla,2023-07-13 09:25:00,,doh,othh,,13,Jul,2023,9
841,departure,active,lhe,opla,2023-07-15 09:50:00,,khi,opkc,,15,Jul,2023,9
5715,departure,active,lhe,opla,2023-07-18 02:25:00,,ist,ltfm,,18,Jul,2023,2
247,departure,active,lhe,opla,2023-07-28 13:00:00,2023-07-28 13:40:00,dmm,oedf,2023-07-28 14:41:00,28,Jul,2023,13
401,departure,active,lhe,opla,2023-07-14 09:00:00,,khi,opkc,,14,Jul,2023,9
8127,departure,active,lhe,opla,2023-07-27 21:10:00,,doh,othh,,27,Jul,2023,21
6634,departure,active,lhe,opla,2023-07-17 03:30:00,2023-07-17 03:52:00,doh,othh,2023-07-17 04:57:00,17,Jul,2023,3
8162,departure,active,lhe,opla,2023-07-19 09:55:00,2023-07-19 10:02:00,doh,othh,2023-07-19 11:04:00,19,Jul,2023,9
717,departure,active,lhe,opla,2023-07-19 21:10:00,,med,oema,,19,Jul,2023,21
203,departure,active,lhe,opla,2023-07-21 14:15:00,,dxb,omdb,,21,Jul,2023,14
715,departure,active,lhe,opla,2023-07-27 02:25:00,2023-07-27 03:02:00,ist,ltfm,2023-07-27 06:33:00,27,Jul,2023,2
8127,departure,active,lhe,opla,2023-07-25 21:10:00,2023-07-25 21:15:00,doh,othh,2023-07-25 22:22:00,25,Jul,2023,21
470,departure,active,lhe,opla,2023-07-15 16:45:00,,jed,oejn,,15,Jul,2023,16
204,departure,active,lhe,opla,2023-07-15 03:50:00,2023-07-15 04:17:00,kwi,okkk,2023-07-15 05:44:00,15,Jul,2023,3
189,departure,active,lhe,opla,2023-07-13 22:10:00,,bah,obbi,,13,Jul,2023,22
843,departure,active,lhe,opla,2023-07-21 15:05:00,2023-07-21 15:19:00,khi,opkc,2023-07-21 16:44:00,21,Jul,2023,15
843,departure,active,lhe,opla,2023-07-13 15:05:00,2023-07-13 15:31:00,khi,opkc,2023-07-13 16:58:00,13,Jul,2023,15
8127,departure,active,lhe,opla,2023-07-13 21:10:00,,doh,othh,,13,Jul,2023,21
318,departure,active,lhe,opla,2023-07-16 04:25:00,2023-07-16 04:14:00,ruh,oerk,2023-07-16 06:03:00,16,Jul,2023,4
1563,departure,active,lhe,opla,2023-07-13 21:10:00,,doh,othh,,13,Jul,2023,21
898,departure,active,lhe,opla,2023-07-23 01:50:00,2023-07-23 02:10:00,kul,wmkk,2023-07-23 10:27:00,23,Jul,2023,1
318,departure,active,lhe,opla,2023-07-18 04:25:00,2023-07-18 04:18:00,ruh,oerk,2023-07-18 06:03:00,18,Jul,2023,4
6634,departure,active,lhe,opla,2023-07-27 03:30:00,2023-07-27 03:36:00,doh,othh,2023-07-27 04:38:00,27,Jul,2023,3
6187,departure,active,lhe,opla,2023-07-28 03:30:00,2023-07-28 03:32:00,doh,othh,2023-07-28 04:33:00,28,Jul,2023,3
6032,departure,active,lhe,opla,2023-07-24 09:55:00,,doh,othh,,24,Jul,2023,9
244,departure,active,lhe,opla,2023-07-13 19:45:00,2023-07-13 19:56:00,auh,omaa,2023-07-13 21:48:00,13,Jul,2023,19
247,departure,active,lhe,opla,2023-07-20 22:20:00,,dmm,oedf,,20,Jul,2023,22
6333,departure,active,lhe,opla,2023-07-20 21:10:00,,doh,othh,,20,Jul,2023,21
3932,departure,active,lhe,opla,2023-08-01 04:15:00,2023-08-01 04:24:00,auh,omaa,2023-08-01 06:14:00,1,Aug,2023,4
6032,departure,active,lhe,opla,2023-07-17 09:55:00,,doh,othh,,17,Jul,2023,9
144,departure,active,lhe,opla,2023-07-21 16:15:00,,khi,opkc,,21,Jul,2023,16
307,departure,active,lhe,opla,2023-07-22 22:00:00,2023-07-22 22:12:00,khi,opkc,2023-07-22 23:44:00,22,Jul,2023,22
843,departure,active,lhe,opla,2023-07-30 15:05:00,2023-07-30 15:21:00,khi,opkc,2023-07-30 16:50:00,30,Jul,2023,15
797,departure,active,lhe,opla,2023-07-24 03:50:00,2023-07-24 04:37:00,yyz,cyyz,,24,Jul,2023,3
401,departure,active,lhe,opla,2023-07-31 09:00:00,2023-07-31 09:09:00,khi,opkc,2023-07-31 10:39:00,31,Jul,2023,9
5715,departure,active,lhe,opla,2023-07-31 02:25:00,,ist,ltfm,,31,Jul,2023,2
474,departure,active,lhe,opla,2023-07-21 21:20:00,,ruh,oerk,,21,Jul,2023,21
6613,departure,active,lhe,opla,2023-07-15 21:10:00,,doh,othh,,15,Jul,2023,21
346,departure,active,lhe,opla,2023-07-23 23:40:00,,bkk,vtbs,,23,Jul,2023,23
344,departure,active,lhe,opla,2023-07-17 10:45:00,,bgw,orbi,,17,Jul,2023,10
8691,departure,active,lhe,opla,2023-07-14 01:45:00,,doh,othh,,14,Jul,2023,1
6173,departure,active,lhe,opla,2023-07-26 09:55:00,2023-07-26 09:54:00,doh,othh,2023-07-26 11:00:00,26,Jul,2023,9
5586,departure,active,lhe,opla,2023-07-30 09:55:00,2023-07-30 09:56:00,doh,othh,2023-07-30 11:02:00,30,Jul,2023,9
6412,departure,active,lhe,opla,2023-07-29 21:10:00,,doh,othh,,29,Jul,2023,21
1569,departure,active,lhe,opla,2023-07-25 03:30:00,,doh,othh,,25,Jul,2023,3
430,departure,active,lhe,opla,2023-07-16 00:20:00,2023-07-16 00:32:00,auh,omaa,2023-07-16 02:26:00,16,Jul,2023,0
843,departure,active,lhe,opla,2023-07-25 15:05:00,2023-07-25 15:06:00,khi,opkc,2023-07-25 16:35:00,25,Jul,2023,15
5586,departure,active,lhe,opla,2023-07-14 09:25:00,2023-07-14 09:34:00,doh,othh,2023-07-14 10:36:00,14,Jul,2023,9
8691,departure,active,lhe,opla,2023-07-29 08:55:00,,doh,othh,,29,Jul,2023,8
843,departure,active,lhe,opla,2023-07-15 15:05:00,,khi,opkc,,15,Jul,2023,15
767,departure,active,lhe,opla,2023-07-19 22:00:00,2023-07-19 22:16:00,bah,obbi,,19,Jul,2023,22
725,departure,active,lhe,opla,2023-07-13 07:40:00,2023-07-13 08:17:00,ruh,oerk,2023-07-13 09:38:00,13,Jul,2023,7
203,departure,active,lhe,opla,2023-07-16 14:15:00,,dxb,omdb,,16,Jul,2023,14
721,departure,active,lhe,opla,2023-07-24 01:00:00,,shj,omsj,,24,Jul,2023,1
855,departure,active,lhe,opla,2023-07-24 01:00:00,,rkt,omrk,,24,Jul,2023,1
767,departure,active,lhe,opla,2023-07-30 22:00:00,,bah,obbi,,30,Jul,2023,22
8162,departure,active,lhe,opla,2023-07-28 09:55:00,2023-07-28 10:05:00,doh,othh,2023-07-28 11:10:00,28,Jul,2023,9
204,departure,active,lhe,opla,2023-07-27 03:50:00,2023-07-27 04:15:00,kwi,okkk,2023-07-27 05:14:00,27,Jul,2023,3
502,departure,active,lhe,opla,2023-07-22 01:25:00,,kwi,okkk,,22,Jul,2023,1
6187,departure,active,lhe,opla,2023-07-19 03:30:00,,doh,othh,,19,Jul,2023,3
841,departure,active,lhe,opla,2023-07-22 09:50:00,,khi,opkc,,22,Jul,2023,9
625,departure,active,lhe,opla,2023-07-22 09:45:00,,dxb,omdb,,22,Jul,2023,9
263,departure,active,lhe,opla,2023-07-23 00:20:00,,auh,omaa,,23,Jul,2023,0
7913,departure,active,lhe,opla,2023-07-31 03:30:00,,doh,othh,,31,Jul,2023,3
303,departure,active,lhe,opla,2023-07-28 11:00:00,2023-07-28 11:15:00,khi,opkc,2023-07-28 12:45:00,28,Jul,2023,11
244,departure,active,lhe,opla,2023-07-27 19:45:00,,auh,omaa,,27,Jul,2023,19
629,departure,active,lhe,opla,2023-07-20 09:55:00,2023-07-20 10:09:00,doh,othh,2023-07-20 11:10:00,20,Jul,2023,9
430,departure,active,lhe,opla,2023-07-30 00:20:00,,auh,omaa,,30,Jul,2023,0
707,departure,active,lhe,opla,2023-07-19 04:00:00,,ist,ltfm,,19,Jul,2023,4
229,departure,active,lhe,opla,2023-07-18 23:30:00,,mct,ooms,,18,Jul,2023,23
7915,departure,active,lhe,opla,2023-07-27 09:55:00,2023-07-27 09:53:00,doh,othh,2023-07-27 10:53:00,27,Jul,2023,9
716,departure,active,lhe,opla,2023-07-30 09:30:00,2023-07-30 10:04:00,jed,oejn,2023-07-30 12:50:00,30,Jul,2023,9
305,departure,active,lhe,opla,2023-07-31 17:00:00,,khi,opkc,,31,Jul,2023,17
144,departure,active,lhe,opla,2023-07-16 16:15:00,2023-07-16 16:12:00,khi,opkc,2023-07-16 17:39:00,16,Jul,2023,16
525,departure,active,lhe,opla,2023-07-25 20:30:00,2023-07-25 20:53:00,khi,opkc,2023-07-25 22:18:00,25,Jul,2023,20
6634,departure,active,lhe,opla,2023-07-21 03:30:00,2023-07-21 03:36:00,doh,othh,2023-07-21 04:42:00,21,Jul,2023,3
797,departure,active,lhe,opla,2023-07-17 03:50:00,,yyz,cyyz,,17,Jul,2023,3
3836,departure,active,lhe,opla,2023-07-14 09:25:00,2023-07-14 09:34:00,doh,othh,2023-07-14 10:36:00,14,Jul,2023,9
470,departure,active,lhe,opla,2023-07-17 16:45:00,,jed,oejn,,17,Jul,2023,16
6173,departure,active,lhe,opla,2023-07-22 09:55:00,,doh,othh,,22,Jul,2023,9
154,departure,active,lhe,opla,2023-07-17 07:05:00,,cmb,vcbi,,17,Jul,2023,7
342,departure,active,lhe,opla,2023-07-21 09:50:00,,mct,ooms,,21,Jul,2023,9
621,departure,active,lhe,opla,2023-07-30 03:30:00,2023-07-30 03:27:00,doh,othh,2023-07-30 04:29:00,30,Jul,2023,3
6187,departure,active,lhe,opla,2023-07-24 03:30:00,,doh,othh,,24,Jul,2023,3
7579,departure,active,lhe,opla,2023-07-15 09:00:00,,dxb,omdb,,15,Jul,2023,9
476,departure,active,lhe,opla,2023-07-22 22:55:00,,med,oema,,22,Jul,2023,22
146,departure,active,lhe,opla,2023-07-22 21:45:00,,khi,opkc,,22,Jul,2023,21
6030,departure,active,lhe,opla,2023-07-27 03:30:00,2023-07-27 03:36:00,doh,othh,2023-07-27 04:38:00,27,Jul,2023,3
244,departure,active,lhe,opla,2023-07-18 19:45:00,2023-07-18 19:53:00,auh,omaa,2023-07-18 21:42:00,18,Jul,2023,19
1563,departure,active,lhe,opla,2023-07-25 21:10:00,2023-07-25 21:15:00,doh,othh,2023-07-25 22:22:00,25,Jul,2023,21
3160,departure,active,lhe,opla,2023-07-14 07:00:00,2023-07-14 07:46:00,bah,obbi,2023-07-14 08:58:00,14,Jul,2023,7
410,departure,active,lhe,opla,2023-07-26 14:30:00,,dxb,omdb,,26,Jul,2023,14
629,departure,active,lhe,opla,2023-07-21 09:55:00,,doh,othh,,21,Jul,2023,9
1563,departure,active,lhe,opla,2023-07-20 21:10:00,,doh,othh,,20,Jul,2023,21
743,departure,active,lhe,opla,2023-07-15 04:40:00,2023-07-15 04:10:00,med,oema,2023-07-15 06:24:00,15,Jul,2023,4
8162,departure,active,lhe,opla,2023-07-18 09:55:00,,doh,othh,,18,Jul,2023,9
629,departure,active,lhe,opla,2023-07-26 09:55:00,2023-07-26 09:54:00,doh,othh,2023-07-26 11:00:00,26,Jul,2023,9
303,departure,cancelled,lhe,opla,2023-07-19 11:00:00,,khi,opkc,,19,Jul,2023,11
142,departure,active,lhe,opla,2023-07-26 10:45:00,2023-07-26 10:51:00,khi,opkc,2023-07-26 12:19:00,26,Jul,2023,10
847,departure,active,lhe,opla,2023-07-28 20:35:00,2023-07-28 20:52:00,khi,opkc,,28,Jul,2023,20
6187,departure,active,lhe,opla,2023-07-20 03:30:00,2023-07-20 03:48:00,doh,othh,2023-07-20 04:53:00,20,Jul,2023,3
621,departure,active,lhe,opla,2023-07-14 03:30:00,,doh,othh,,14,Jul,2023,3
6187,departure,active,lhe,opla,2023-07-31 03:30:00,,doh,othh,,31,Jul,2023,3
3894,departure,active,lhe,opla,2023-07-15 19:45:00,,auh,omaa,,15,Jul,2023,19
716,departure,active,lhe,opla,2023-07-16 09:30:00,,jed,oejn,,16,Jul,2023,9
6032,departure,active,lhe,opla,2023-07-19 09:55:00,2023-07-19 10:02:00,doh,othh,2023-07-19 11:04:00,19,Jul,2023,9
405,departure,active,lhe,opla,2023-07-29 18:00:00,,khi,opkc,,29,Jul,2023,18
4547,departure,active,lhe,opla,2023-07-28 04:00:00,,ist,ltfm,,28,Jul,2023,4
229,departure,active,lhe,opla,2023-07-29 17:00:00,,mct,ooms,,29,Jul,2023,17
7579,departure,active,lhe,opla,2023-07-24 09:45:00,,dxb,omdb,,24,Jul,2023,9
884,departure,active,lhe,opla,2023-07-24 03:15:00,2023-07-24 03:31:00,dmm,oedf,2023-07-24 04:40:00,24,Jul,2023,3
6333,departure,active,lhe,opla,2023-07-29 21:10:00,,doh,othh,,29,Jul,2023,21
843,departure,active,lhe,opla,2023-07-31 15:05:00,,khi,opkc,,31,Jul,2023,15
342,departure,active,lhe,opla,2023-07-19 10:30:00,2023-07-19 10:48:00,njf,orni,2023-07-19 12:40:00,19,Jul,2023,10
4359,departure,active,lhe,opla,2023-07-26 14:00:00,,dxb,omdb,,26,Jul,2023,14
263,departure,active,lhe,opla,2023-07-31 23:59:00,,auh,omaa,,31,Jul,2023,23
739,departure,active,lhe,opla,2023-07-17 02:35:00,2023-07-17 02:52:00,jed,oejn,2023-07-17 05:20:00,17,Jul,2023,2
7617,departure,active,lhe,opla,2023-07-21 03:30:00,,dxb,omdb,,21,Jul,2023,3
723,departure,active,lhe,opla,2023-07-27 11:35:00,,dxb,omdb,,27,Jul,2023,11
1569,departure,active,lhe,opla,2023-07-15 03:30:00,,doh,othh,,15,Jul,2023,3
2495,departure,active,lhe,opla,2023-07-27 21:10:00,,doh,othh,,27,Jul,2023,21
263,departure,active,lhe,opla,2023-07-17 23:59:00,2023-07-18 00:16:00,auh,omaa,2023-07-18 01:52:00,17,Jul,2023,23
723,departure,active,lhe,opla,2023-07-14 11:15:00,,dxb,omdb,,14,Jul,2023,11
7915,departure,active,lhe,opla,2023-07-13 09:25:00,,doh,othh,,13,Jul,2023,9
502,departure,active,lhe,opla,2023-07-17 01:25:00,,kwi,okkk,,17,Jul,2023,1
6187,departure,active,lhe,opla,2023-07-23 03:30:00,,doh,othh,,23,Jul,2023,3
9410,departure,active,lhe,opla,2023-07-16 23:40:00,,bkk,vtbs,,16,Jul,2023,23
476,departure,active,lhe,opla,2023-07-13 18:35:00,,med,oema,,13,Jul,2023,18
3836,departure,active,lhe,opla,2023-07-31 09:55:00,,doh,othh,,31,Jul,2023,9
9032,departure,active,lhe,opla,2023-07-20 11:20:00,,cmb,vcbi,,20,Jul,2023,11
3160,departure,active,lhe,opla,2023-07-28 15:35:00,2023-07-28 15:58:00,bah,obbi,,28,Jul,2023,15
4359,departure,active,lhe,opla,2023-07-16 14:15:00,,dxb,omdb,,16,Jul,2023,14
189,departure,active,lhe,opla,2023-07-20 23:45:00,,bah,obbi,,20,Jul,2023,23
898,departure,active,lhe,opla,2023-07-30 01:50:00,,kul,wmkk,,30,Jul,2023,1
7915,departure,active,lhe,opla,2023-07-21 09:55:00,,doh,othh,,21,Jul,2023,9
765,departure,active,lhe,opla,2023-07-28 15:35:00,2023-07-28 15:58:00,bah,obbi,,28,Jul,2023,15
1563,departure,active,lhe,opla,2023-07-22 21:10:00,2023-07-22 21:06:00,doh,othh,2023-07-22 22:09:00,22,Jul,2023,21
6367,departure,active,lhe,opla,2023-07-22 09:55:00,,doh,othh,,22,Jul,2023,9
847,departure,active,lhe,opla,2023-07-22 20:35:00,,khi,opkc,,22,Jul,2023,20
322,departure,active,lhe,opla,2023-07-25 09:15:00,,uet,opqt,,25,Jul,2023,9
5715,departure,active,lhe,opla,2023-07-16 06:00:00,,ist,ltfm,,16,Jul,2023,6
6634,departure,active,lhe,opla,2023-07-19 03:30:00,,doh,othh,,19,Jul,2023,3
6173,departure,active,lhe,opla,2023-07-28 09:55:00,2023-07-28 10:05:00,doh,othh,2023-07-28 11:10:00,28,Jul,2023,9
229,departure,active,lhe,opla,2023-07-20 09:30:00,,mct,ooms,,20,Jul,2023,9
625,departure,active,lhe,opla,2023-07-31 09:45:00,,dxb,omdb,,31,Jul,2023,9
154,departure,active,lhe,opla,2023-07-20 07:05:00,,cmb,vcbi,,20,Jul,2023,7
344,departure,active,lhe,opla,2023-07-22 15:40:00,,mct,ooms,,22,Jul,2023,15
721,departure,active,lhe,opla,2023-07-27 01:00:00,,shj,omsj,,27,Jul,2023,1
843,departure,active,lhe,opla,2023-07-28 15:05:00,2023-07-28 15:20:00,khi,opkc,2023-07-28 16:48:00,28,Jul,2023,15
6333,departure,active,lhe,opla,2023-07-18 21:10:00,2023-07-18 21:11:00,doh,othh,2023-07-18 22:16:00,18,Jul,2023,21
747,departure,active,lhe,opla,2023-07-31 21:10:00,,med,oema,,31,Jul,2023,21
405,departure,active,lhe,opla,2023-07-13 18:00:00,,khi,opkc,,13,Jul,2023,18
847,departure,active,lhe,opla,2023-07-21 20:35:00,2023-07-21 20:53:00,khi,opkc,2023-07-21 22:23:00,21,Jul,2023,20
7617,departure,active,lhe,opla,2023-07-28 03:30:00,2023-07-28 03:46:00,dxb,omdb,2023-07-28 05:25:00,28,Jul,2023,3
6018,departure,active,lhe,opla,2023-07-23 09:50:00,2023-07-23 09:39:00,urc,zwww,2023-07-23 15:15:00,23,Jul,2023,9
8284,departure,active,lhe,opla,2023-07-26 03:30:00,,doh,othh,,26,Jul,2023,3
6030,departure,active,lhe,opla,2023-07-22 03:30:00,2023-07-22 03:49:00,doh,othh,2023-07-22 04:50:00,22,Jul,2023,3
715,departure,active,lhe,opla,2023-07-25 02:25:00,,ist,ltfm,,25,Jul,2023,2
159,departure,active,lhe,opla,2023-07-26 10:10:00,2023-07-26 10:24:00,gyd,ubbb,2023-07-26 13:10:00,26,Jul,2023,10
430,departure,active,lhe,opla,2023-07-20 00:20:00,,auh,omaa,,20,Jul,2023,0
6030,departure,active,lhe,opla,2023-08-01 03:30:00,,doh,othh,,1,Aug,2023,3
305,departure,active,lhe,opla,2023-07-14 17:00:00,2023-07-14 17:16:00,khi,opkc,2023-07-14 18:43:00,14,Jul,2023,17
621,departure,active,lhe,opla,2023-07-23 03:30:00,,doh,othh,,23,Jul,2023,3
721,departure,active,lhe,opla,2023-07-15 01:00:00,2023-07-15 01:16:00,shj,omsj,2023-07-15 03:02:00,15,Jul,2023,1
405,departure,unknown,lhe,opla,2023-07-20 18:00:00,,khi,opkc,,20,Jul,2023,18
9090,departure,active,lhe,opla,2023-07-15 22:00:00,,kmg,zppp,,15,Jul,2023,22
6030,departure,active,lhe,opla,2023-07-17 03:30:00,2023-07-17 03:52:00,doh,othh,2023-07-17 04:57:00,17,Jul,2023,3
5586,departure,active,lhe,opla,2023-07-17 09:55:00,,doh,othh,,17,Jul,2023,9
723,departure,active,lhe,opla,2023-07-26 11:05:00,2023-07-26 10:19:00,dxb,omdb,2023-07-26 11:57:00,26,Jul,2023,11
8162,departure,active,lhe,opla,2023-07-26 09:55:00,2023-07-26 09:54:00,doh,othh,2023-07-26 11:00:00,26,Jul,2023,9
242,departure,active,lhe,opla,2023-07-22 04:15:00,,auh,omaa,,22,Jul,2023,4
739,departure,active,lhe,opla,2023-07-28 02:35:00,,jed,oejn,,28,Jul,2023,2
470,departure,active,lhe,opla,2023-07-31 16:45:00,,jed,oejn,,31,Jul,2023,16
843,departure,active,lhe,opla,2023-07-20 15:05:00,,khi,opkc,,20,Jul,2023,15
3160,departure,active,lhe,opla,2023-07-24 15:35:00,,bah,obbi,,24,Jul,2023,15
523,departure,active,lhe,opla,2023-07-27 15:15:00,,khi,opkc,,27,Jul,2023,15
921,departure,cancelled,lhe,opla,2023-07-25 21:40:00,,med,oema,,25,Jul,2023,21
6412,departure,active,lhe,opla,2023-07-25 21:10:00,2023-07-25 21:15:00,doh,othh,2023-07-25 22:22:00,25,Jul,2023,21
1569,departure,active,lhe,opla,2023-07-18 03:30:00,,doh,othh,,18,Jul,2023,3
6018,departure,active,lhe,opla,2023-07-16 09:50:00,2023-07-16 09:36:00,urc,zwww,2023-07-16 15:19:00,16,Jul,2023,9
263,departure,active,lhe,opla,2023-07-24 23:59:00,,auh,omaa,,24,Jul,2023,23
609,departure,active,lhe,opla,2023-07-20 21:10:00,,doh,othh,,20,Jul,2023,21
318,departure,active,lhe,opla,2023-07-23 04:25:00,2023-07-23 04:25:00,ruh,oerk,2023-07-23 06:09:00,23,Jul,2023,4
305,departure,active,lhe,opla,2023-07-13 17:00:00,,khi,opkc,,13,Jul,2023,17
7617,departure,active,lhe,opla,2023-07-16 03:30:00,2023-07-16 04:10:00,dxb,omdb,2023-07-16 05:53:00,16,Jul,2023,3
859,departure,active,lhe,opla,2023-07-16 08:00:00,,jed,oejn,,16,Jul,2023,8
821,departure,active,lhe,opla,2023-07-23 02:10:00,,jed,oejn,,23,Jul,2023,2
621,departure,active,lhe,opla,2023-07-27 03:30:00,2023-07-27 03:36:00,doh,othh,2023-07-27 04:38:00,27,Jul,2023,3
6030,departure,active,lhe,opla,2023-07-28 03:30:00,2023-07-28 03:32:00,doh,othh,2023-07-28 04:33:00,28,Jul,2023,3
7915,departure,active,lhe,opla,2023-07-29 09:55:00,2023-07-29 10:04:00,doh,othh,2023-07-29 11:06:00,29,Jul,2023,9
9090,departure,active,lhe,opla,2023-07-28 22:00:00,,kmg,zppp,,28,Jul,2023,22
2495,departure,active,lhe,opla,2023-07-15 21:10:00,,doh,othh,,15,Jul,2023,21
621,departure,active,lhe,opla,2023-07-22 03:30:00,2023-07-22 03:49:00,doh,othh,2023-07-22 04:50:00,22,Jul,2023,3
132,departure,active,lhe,opla,2023-07-27 21:25:00,,kul,wmkk,,27,Jul,2023,21
715,departure,active,lhe,opla,2023-07-20 02:25:00,,ist,ltfm,,20,Jul,2023,2
5586,departure,active,lhe,opla,2023-07-28 09:55:00,2023-07-28 10:05:00,doh,othh,2023-07-28 11:10:00,28,Jul,2023,9
322,departure,active,lhe,opla,2023-07-18 09:15:00,,uet,opqt,,18,Jul,2023,9
132,departure,active,lhe,opla,2023-07-25 21:25:00,2023-07-25 21:46:00,kul,wmkk,2023-07-26 06:15:00,25,Jul,2023,21
470,departure,unknown,lhe,opla,2023-07-23 16:45:00,,jed,oejn,,23,Jul,2023,16
9410,departure,active,lhe,opla,2023-07-28 23:40:00,2023-07-28 23:54:00,bkk,vtbs,2023-07-29 06:02:00,28,Jul,2023,23
